Comp	Larg	Area
6	3.2	13.39077736
5.5	3.2	12.51658868
5	2.5	8.779992453
5	2.7	9.60374717
4.7	2.2	9.089320755
5	2.8	10.22688679
4	2.5	7.231109434
4.3	2.2	8.229701887
4.1	2.4	7.421637736
5	2.4	8.500924528
4.6	2.2	7.497849057
4.6	2.3	7.493366038
4.2	1.9	5.928792453
4	3.2	6.559777358
4	2	6.109233962
3.5	2.2	5.439022642
3.1	2.2	5.512992453
3.8	2.2	5.997158491
4.1	2.3	6.214584906
2	1.3	1.86045283
2.2	1.4	2.461177358
3	2	4.320509434
3.2	1.2	4.015664151
2.5	1.5	2.790679245
3.4	1.9	4.387754717
3.5	2.1	5.073656604
3.5	2.1	5.380743396
3.1	2	5.377381132
2.1	1.2	1.918732075
1.8	1.2	1.571298113
1.1	1.3	1.507415094
4.1	2	5.829045283
3.6	1.9	4.922354717
3.8	2	5.459196226
3.5	2.2	5.059086792
2.8	1.6	3.634607547
3.8	1.8	4.604060377
2.3	1.4	2.509369811
2.8	1.4	2.938618868
4.7	2.4	8.145645283
3.7	2.3	6.341230189
2.8	1.6	3.344332075
3.3	2.2	5.313498113
2.2	1.3	2.21909434
2.5	2.5	2.937498113
2.4	1.6	2.786196226
3.4	1.6	3.859879245
4.1	2.3	7.015924528
3.6	2	5.119607547
3.6	2.2	5.552218868
2.5	1.5	2.808611321
2.2	1.2	1.908645283
2.7	1.8	3.697369811
3	1.7	3.680558491
4.4	2	5.814676477
2.5	1.3	3.373544631
3.7	2.1	5.365791531
3.8	2.2	5.815027113
4.8	2.7	8.526569887
3.8	2.7	7.204669993
3.3	1.5	3.523126194
3.3	1.8	3.850901266
4.7	2.4	7.078721335
3.8	2.2	6.089084661
3.7	1.9	4.854142639
4.8	2.4	8.111836944
3.9	2.2	5.965239823
2.6	1.8	3.378944434
3.8	2.3	6.555080672
3.6	2.2	5.041452698
3.2	1.5	3.222630648
3.7	2.1	5.588165248
4	2.3	5.984454707
2.4	1.6	2.513853872
3.1	1.7	3.501106217
2.3	1.2	1.899678845
2.5	1.6	3.070664756
2.3	1.3	2.088110941
2.7	1.9	3.62537182
2.2	1.9	2.255504842
3.3	1.9	4.292212461
3.2	1.8	3.969977447
4.2	2.4	6.845968776
4.3	2.5	7.450185724
4.3	2.3	6.888606183
4.2	2.5	7.169185572
3.2	2.7	5.648544867
3.8	2.3	5.848477843
4.2	2	5.785012622
3.5	1.9	4.683102117
2.8	1.3	2.487205492
3.3	2	4.527629859
3.3	2	4.376856131
4.1	2	5.751702147
2.3	1.6	2.881391132
2.9	1.5	3.134059849
3.8	2.1	5.465021682
3.2	2.1	4.854072511
3.4	1.9	4.432677474
3.5	1.7	3.919696162
4	2.1	6.011453723
3	1.2	3.796272087
3.8	2.3	5.784451604
3.5	2.3	6.008297994
4	3.3	6.625207987
2.6	1.6	3.057200311
3.2	1.7	3.409519943
3.8	2.3	5.796583629
3.1	1.8	4.012684982
3	1.7	3.716677584
3	1.4	2.903972127
3.7	2	5.274415639
4	2.1	5.586061429
3.7	2.2	5.777859636
4.5	2.5	6.92500226
4	1.8	4.468512532
4.3	2.3	6.512303009
4.3	2.5	7.369889948
4.5	2.5	6.742881622
4.5	2.5	6.647578601
3	1.8	3.317723288
3.5	1.8	3.557208069
5.1	2.8	8.771945363
4.6	2.5	6.765673
3.5	1.8	4.004620341
4.8	3.8	8.753291498
4.3	1.8	4.517461398
4.8	2.8	8.390032004
2.9	1.5	2.72914473
5.5	3.1	10.87871017
6.3	3.5	12.96892493
3	1.5	3.233079618
4.8	2.5	6.662024828
6.3	3.3	13.35785102
5.8	3.2	11.95081657
5	2.5	8.0241778
4.5	2.5	6.882645362
5	3	9.249582508
3.8	2.1	5.240053255
2.1	1.5	2.910003076
5	2.3	7.043307041
4	1.8	4.678964605
5.8	3.1	12.20572936
4.2	2	5.534938616
5.4	3	10.68291471
3.8	2.5	6.638790566
6.4	2.8	11.82872547
3.6	1.8	4.201919575
3.5	1.9	4.797600708
5.1	2.5	8.414626415
4.2	2.2	6.402801651
3.5	2	5.052082075
4.8	2.6	8.595067925
4.1	2	5.54227217
4	1.9	5.576875472
4.4	2.1	6.587936321
3.8	1.8	5.123320047
5	2.4	8.559273821
5.8	3	11.61284009
5	2.4	8.23705684
4	2	5.341937264
5.2	2.4	8.515214151
3	1.7	3.595311085
3.1	2.3	5.036461557
3.5	1.5	3.714391274
4	2.2	5.619183962
3	1.9	4.196175708
2.9	1.5	2.756566274
2.4	1.8	2.242980425
4.7	2.4	7.35866533
5.4	2.6	9.539163679
4.6	2.8	8.577906368
3.2	2	4.182096226
3.5	1.8	4.028973113
2.9	1.5	3.0479625
3.3	2	4.627596226
4.5	2.1	6.018382783
4.6	2.3	7.168417217
3.5	1.8	4.42256816
3.4	1.5	3.560567689
2.2	1.3	1.933512028
4.3	2.2	7.494416745
3.9	1.7	4.201709434
2.5	1.44	2.326266509
3.3	1.8	3.964669811
3	1.5	3.250538915
2.5	1.3	2.131675472
2.5	1.4	2.439883019
2	1.4	2.031157783
3.3	1.8	4.052088679
5	2.8	9.657613443
3.5	2	4.803694811
2.7	1.5	2.91753467
