Comp	Larg	Area
3.3	1.8	4.088933491
2.4	1.2	1.864725708
2.2	1.2	1.93694434
2.4	1.2	2.038022406
2	1.3	1.83495566
4.1	1.9	4.794588679
3.8	2.4	5.930473585
4	2.3	6.149020755
4.3	2.1	5.89124717
3	1.8	3.914586085
3.9	2	5.029807075
2.5	1.8	2.248304009
1.9	1.3	1.736679481
2.5	1.5	2.475677123
2.1	1.2	1.838528066
2.5	1.7	2.998158962
3	1.6	3.208300472
2.7	1.7	3.116188443
2.4	1.4	2.160885142
3	1.5	3.012728774
4.2	2.3	6.107342689
3.3	1.7	3.754738443
3.6	1.9	4.325903066
3.9	1.7	4.599577358
3.8	2.4	6.439226179
3.2	2.1	4.47776533
4.2	2	5.574073585
5.5	3.2	11.27759434
4.7	2.3	7.000584198
3.2	1.4	2.955500236
4.5	2.5	7.21983184
2.5	1.8	3.252920519
2.2	1.5	2.420199764
3	1.4	2.849028538
3.6	1.7	4.074013443
3	1.3	2.010283726
2.2	1.4	3.66521816
2	1	1.391977358
1.9	1.1	1.473932547
2	1.3	1.740602123
3.7	2	5.362040802
3.4	2	4.287587264
2.4	1.4	2.244941745
3.5	1.9	4.607352594
3.2	1.4	2.931544104
2.9	1.4	2.645611557
2.5	1.4	2.264344811
2	1.4	1.93743467
2	1.2	1.664741038
2.4	1.4	2.127122406
2.5	1.5	2.741366038
2.5	1.5	2.678463679
2.6	1.3	2.353584906
2.9	1.7	3.063723113
3.8	1.8	4.659467689
2.3	1.2	1.910256368
2.2	1.3	1.955716981
2.7	1.5	2.866960613
4.3	1.9	5.34698066
2.5	1.5	2.746199292
2.5	1.4	2.315199057
5	2.6	8.342337736
4.3	2.3	6.043179481
4	1.9	4.579964151
3.2	1.6	3.18805684
5	2.7	9.67379434
3.4	1.9	4.684824764
3.5	2.2	4.900710142
3	1.6	3.181892689
2.7	1.6	2.845596226
2.9	1.7	3.534930425
2.4	1.5	1.975120047
2.7	1.5	2.806019575
2.2	1	1.277450236
1.5	0.6	0.60240566
2.7	1.5	2.802657311
2.3	1.3	1.987728538
2.5	1.7	3.233377358
2	1.2	1.854919104
3.4	1.7	3.89714434
2.3	1.3	2.116054953
2.3	1.4	2.210548585
6.4	3.9	15.25193066
7.6	4.5	22.42364009
6.9	3.9	17.75401557
6.6	3.9	17.30872571
6.9	3.9	17.6208559
6	3.5	13.74311462
4.8	2.8	8.850249764
5	2.4	7.757724057
6	3.2	12.71082948
7.3	4	19.27719127
3.8	2.2	5.873034906
3	2.1	4.78814434
6.9	4	17.9968691
6.1	3.5	14.18034906
5	2.3	7.580854953
5.6	3.3	11.19073585
4.4	2.4	6.892571462
4.9	2.8	9.245455896
6.1	2.6	11.07011462
5	2.3	8.006951887
5.4	2.5	9.096955896
5.5	3	11.19704009
7.8	4	21.16692382
5.7	2.6	10.12237642
4.5	2.5	7.937745283
5.3	2.8	9.305626415
3.8	2.3	6.082265802
5	2.5	8.711416274
4.1	2.3	6.677736792
4.8	2.5	7.949653302
3.8	2.2	6.35902217
5.2	2.7	9.495244104
3.4	1.7	3.647916509
4.2	1.9	5.458425708
5.6	2.9	10.45425991
2.5	1	1.698713915
4	2.2	6.335696462
6	4	16.69147005
6.9	3.5	14.99990094
5.5	2.8	9.800859906
6.7	3.9	16.45555118
6	3	11.53270613
6	3.8	16.30551014
5	3	10.36333868
3.5	2	4.66934434
5.5	3.1	12.06233278
6.6	3.9	16.83758844
4.4	2.5	8.224588443
5.3	3.5	12.4554375
3.3	2.2	5.273571226
5.2	3	5.352234198
3.5	2.2	10.38344222
6.7	2.7	12.17650967
6.2	3.4	13.06036486
4.8	2.8	8.422962028
5	2.8	9.754908962
5	2.5	8.127082783
3.5	2	5.151198821
5	2.8	7.825249528
5.4	3.3	11.86823208
4.8	2.7	8.466461321
3.4	2.2	5.243100708
3	2.5	5.552709198
3.8	1.7	4.342294104
3	2	4.565814623
3.3	1.8	4.145181368
3.5	2	4.821837028
2	1.4	2.009513208
2.5	1.7	2.991574528
5.3	3.2	10.23606297
3.1	3.3	4.733017217
2.3	1.4	1.984436321
1.8	1	1.18849033
2.3	1.4	1.984436321
1.8	1	1.18849033
